Отчёт по продажам;
Период: с 01/12/2019 по 05/06/2022;
Итого: 2929230.00;
;
Дата продажи;Код;Наименование;Количество;Сумма;Итого за дату;
27/01/2021;10;БатонЧик Шлягер Вкуса Марципан классический 45гр Россия;1;100.00;380.00;
27/01/2021;1;конфеты гл. Марцепан с вишн.нач и коньяком 140г.;1;280.00;380.00;
28/01/2021;23;Батончик глазированный "Марципановый батончик классический" 50 гр;1;100.00;660.00;
28/01/2021;3;Марципан с апельсиновой начинкой в шоколадной глазури 140 гр. /Vintage/;1;280.00;660.00;
28/01/2021;1;конфеты гл. Марцепан с вишн.нач и коньяком 140г.;1;280.00;660.00;
29/01/2021;37;осмотр музея;7;700.00;700.00;
30/01/2021;26;конфеты гл. Марцепан с кус.клубники 98г.;1;230.00;10650.00;
30/01/2021;35;мастер-класс;1;600.00;10650.00;
30/01/2021;6;Конфеты глазированные Грондини чернослив тм GRONDARD (Грондард);1;280.00;10650.00;
30/01/2021;17;конфеты негл.Марципановая картошка 160г.;1;250.00;10650.00;
30/01/2021;36;марципановые мандарины;1;100.00;10650.00;
30/01/2021;9;БатонЧик Шлягер Вкуса Марципан с кофе 45гр Россия;1;100.00;10650.00;
30/01/2021;29;марципановые фрукты в ассортименте;1;50.00;10650.00;
30/01/2021;13;Кедровый марципан шоколадный / батончик / 50 г / шоу-бокс / 24 шт (СибирскийКедр) ;1;120.00;10650.00;
30/01/2021;7;(Марципан СПб) К-ты марципановые Сладкое Трио 60г;1;140.00;10650.00;
30/01/2021;8;"КОНФЕТЫ МАРЦИПАНОВЫЕ ПРАЛИНЕ ""МАРЦИПАНЪ"" 200ГР";2;500.00;10650.00;
30/01/2021;5;конфеты;2;560.00;10650.00;
30/01/2021;38;экскурсия в музее;2;300.00;10650.00;
30/01/2021;3;Марципан с апельсиновой начинкой в шоколадной глазури 140 гр. /Vintage/;2;560.00;10650.00;
30/01/2021;20;Батончик глазированный "Марципановый батончик классич. в ассортименте, 50г;2;200.00;10650.00;
